Document name;L0;L1;L2;Department;Subcategory;Target name; Target L0; Target L1; Target L2;Document type;Target type
INS-58235;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;R&D;INS;RD-42667;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;INS;RD
INS-66000;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;R&D;INS;PRO-92745;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;INS;PRO
INS-82913;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;R&D;INS;RD-42445;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;INS;RD
INS-88233;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;R&D;INS;RD-89317;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;INS;RD
PRO-15179;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;OPS;PRO;RD-75629;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;PRO;RD
PRO-69857;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;OPS;PRO;RD-28461;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;PRO;RD
PRO-84420;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;R&D;PRO;RD-30377;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;PRO;RD
RD-12953;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;R&D;RD;PRO-25315;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;RD;PRO
RD-12953;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;R&D;RD;RD-91460;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;RD;RD
RD-37939;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;R&D;RD;RD-21461;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;RD;RD
RD-57470;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;OPS;RD;PRO-79906;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;RD;PRO
RD-65398;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;R&D;RD;INS-27660;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;RD;INS
RD-75629;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;OPS;RD;INS-73694;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;RD;INS
RD-79186;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;R&D;RD;INS-98246;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;RD;INS
RD-94559;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;OPS;RD;INS-58607;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;RD;INS
INS-45153;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;OPS;INS;PRO-97463;Research and Development (R&D);Clinical Trials;Adverse Event Reports;INS;PRO
PRO-15179;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;OPS;PRO;RD-18196;Research and Development (R&D);Clinical Trials;Adverse Event Reports;PRO;RD
PRO-84420;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;R&D;PRO;RD-31394;Research and Development (R&D);Clinical Trials;Adverse Event Reports;PRO;RD
RD-28461;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;R&D;RD;RD-42460;Research and Development (R&D);Clinical Trials;Adverse Event Reports;RD;RD
RD-37939;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;R&D;RD;PRO-52694;Research and Development (R&D);Clinical Trials;Adverse Event Reports;RD;PRO
RD-78004;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;R&D;RD;RD-11601;Research and Development (R&D);Clinical Trials;Adverse Event Reports;RD;RD
INS-27660;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;R&D;INS;PRO-55880;Research and Development (R&D);Laboratory Records;Analytical Reports;INS;PRO
INS-45153;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;OPS;INS;RD-70750;Research and Development (R&D);Laboratory Records;Analytical Reports;INS;RD
INS-58235;Health, Safety, and Environment (HSE);Incident Reports;Accident Reports;R&D;INS;RD-23352;Research and Development (R&D);Laboratory Records;Analytical Reports;INS;RD
